analysis_id	region_id	region_kind	chromosome	start	end	source_genome_build	target_id	target_label	lead_variant_id	pvalue_threshold	n_variants_retained	region_policy_id
GCST90240121	GCST90240121__suggestive__019	suggestive_trans	6	122914766	122914766	GRCh38	""	""	rs139905253	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240121	GCST90240121__suggestive__020	suggestive_trans	6	128394327	128394327	GRCh38	""	""	rs118066116	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240121	GCST90240121__suggestive__021	suggestive_trans	8	4418788	4418788	GRCh38	""	""	rs35694084	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240121	GCST90240121__suggestive__022	suggestive_trans	8	32292888	32292888	GRCh38	""	""	rs191993614	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240121	GCST90240121__suggestive__023	suggestive_trans	9	16676488	16676488	GRCh38	""	""	rs7871223	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240121	GCST90240121__suggestive__024	suggestive_trans	9	74220254	74220254	GRCh38	""	""	rs140106337	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240121	GCST90240121__suggestive__025	suggestive_trans	9	81152019	81152019	GRCh38	""	""	rs2809848	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240121	GCST90240121__suggestive__026	suggestive_trans	10	44961613	44961613	GRCh38	""	""	rs7902613	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240121	GCST90240121__suggestive__027	suggestive_trans	10	79962303	79962303	GRCh38	""	""	rs35516176	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240121	GCST90240121__suggestive__028	suggestive_trans	11	33577578	33577578	GRCh38	""	""	rs61888299	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240121	GCST90240121__suggestive__029	suggestive_trans	12	7229101	7229101	GRCh38	""	""	rs11045795	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240121	GCST90240121__suggestive__030	suggestive_trans	12	67107448	67107448	GRCh38	""	""	rs61917828	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240121	GCST90240121__suggestive__031	suggestive_trans	13	75974254	75974254	GRCh38	""	""	rs145486666	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240121	GCST90240121__suggestive__032	suggestive_trans	13	105235311	105235311	GRCh38	""	""	rs188494955	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240121	GCST90240121__suggestive__033	suggestive_trans	13	105608820	105608820	GRCh38	""	""	rs149449054	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240121	GCST90240121__suggestive__034	suggestive_trans	14	64338978	64338978	GRCh38	""	""	rs186918491	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240121	GCST90240121__suggestive__035	suggestive_trans	14	100846953	100846953	GRCh38	""	""	rs117678232	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240121	GCST90240121__suggestive__036	suggestive_trans	15	88945905	88945905	GRCh38	""	""	rs542636502	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240121	GCST90240121__suggestive__037	suggestive_trans	15	97791433	97791433	GRCh38	""	""	rs11629877	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240121	GCST90240121__suggestive__038	suggestive_trans	16	63483507	63483507	GRCh38	""	""	rs146776982	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240121	GCST90240121__suggestive__039	suggestive_trans	16	72181075	72181075	GRCh38	""	""	rs217179	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240121	GCST90240121__suggestive__040	suggestive_trans	16	79989372	79989372	GRCh38	""	""	rs75887628	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240121	GCST90240121__suggestive__041	suggestive_trans	17	9089330	9089330	GRCh38	""	""	rs143315264	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240121	GCST90240121__suggestive__042	suggestive_trans	18	59708353	59708353	GRCh38	""	""	rs2852360	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240121	GCST90240121__suggestive__043	suggestive_trans	19	2638038	2638038	GRCh38	""	""	rs115201386	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240121	GCST90240121__suggestive__044	suggestive_trans	21	40687139	40687139	GRCh38	""	""	rs9653728	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240121	GCST90240121__suggestive__045	suggestive_trans	22	41396637	41396637	GRCh38	""	""	rs5758327	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240122	GCST90240122__cis__001	cis	17	344275	2400326	GRCh38	ENSG00000108953	YWHAE	""	""	9506	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240122	GCST90240122__suggestive__001	suggestive_trans	1	27422579	27422579	GRCh38	""	""	rs542146400	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240122	GCST90240122__suggestive__002	suggestive_trans	2	61944827	61944827	GRCh38	""	""	rs62149906	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240122	GCST90240122__suggestive__003	suggestive_trans	2	62101613	62101613	GRCh38	""	""	rs530021423	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240122	GCST90240122__suggestive__004	suggestive_trans	2	155452537	155452537	GRCh38	""	""	rs142807993	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240122	GCST90240122__suggestive__005	suggestive_trans	3	40249884	40249884	GRCh38	""	""	rs114588872	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240122	GCST90240122__suggestive__006	suggestive_trans	3	72365664	72365664	GRCh38	""	""	rs112052641	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240122	GCST90240122__suggestive__007	suggestive_trans	3	119004691	119004691	GRCh38	""	""	rs566218986	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240122	GCST90240122__suggestive__008	suggestive_trans	3	186787917	186787917	GRCh38	""	""	rs12630327	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240122	GCST90240122__suggestive__009	suggestive_trans	4	104109452	104109452	GRCh38	""	""	rs189213194	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240122	GCST90240122__suggestive__010	suggestive_trans	4	183723930	183723930	GRCh38	""	""	rs36097364	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240122	GCST90240122__suggestive__011	suggestive_trans	5	141159722	141159722	GRCh38	""	""	rs146662030	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240122	GCST90240122__suggestive__012	suggestive_trans	7	7893998	7893998	GRCh38	""	""	rs79852560	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240122	GCST90240122__suggestive__013	suggestive_trans	7	32559204	32559204	GRCh38	""	""	rs52793627	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240122	GCST90240122__suggestive__014	suggestive_trans	7	49243283	49243283	GRCh38	""	""	rs62456198	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240122	GCST90240122__suggestive__015	suggestive_trans	7	49365957	49365957	GRCh38	""	""	rs62454347	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240122	GCST90240122__suggestive__016	suggestive_trans	7	147508728	147508728	GRCh38	""	""	rs59576889	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240122	GCST90240122__suggestive__017	suggestive_trans	8	59336206	59336206	GRCh38	""	""	rs147872600	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240122	GCST90240122__suggestive__018	suggestive_trans	8	76782443	76782443	GRCh38	""	""	rs148765948	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240122	GCST90240122__suggestive__019	suggestive_trans	9	32217280	32217280	GRCh38	""	""	rs4878488	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240122	GCST90240122__suggestive__020	suggestive_trans	9	86486668	86486668	GRCh38	""	""	rs353783	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240122	GCST90240122__suggestive__021	suggestive_trans	9	90294830	90294830	GRCh38	""	""	rs2890390	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240122	GCST90240122__suggestive__022	suggestive_trans	9	98371096	98371096	GRCh38	""	""	rs568982	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240122	GCST90240122__suggestive__023	suggestive_trans	9	129774521	129774521	GRCh38	""	""	rs780419356	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240122	GCST90240122__suggestive__024	suggestive_trans	11	109994875	109994875	GRCh38	""	""	rs149626110	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240122	GCST90240122__suggestive__025	suggestive_trans	14	83584403	83584403	GRCh38	""	""	rs146927232	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240122	GCST90240122__suggestive__026	suggestive_trans	14	106223762	106223762	GRCh38	""	""	rs575151541	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240122	GCST90240122__suggestive__027	suggestive_trans	15	88067891	88067891	GRCh38	""	""	rs1824553	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240122	GCST90240122__suggestive__028	suggestive_trans	16	5354838	5354838	GRCh38	""	""	rs4786676	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240122	GCST90240122__suggestive__029	suggestive_trans	20	46254577	46254577	GRCh38	""	""	rs113887008	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240123	GCST90240123__cis__001	cis	22	30944465	32957603	GRCh38	ENSG00000128245	YWHAH	""	""	8293	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240123	GCST90240123__sig_trans__001	significant_trans	19	52790387	54842971	GRCh38	""	""	""	5e-08	10697	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240123	GCST90240123__suggestive__001	suggestive_trans	1	77951323	77951323	GRCh38	""	""	rs571377112	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240123	GCST90240123__suggestive__002	suggestive_trans	1	205364696	205364696	GRCh38	""	""	rs145301517	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240123	GCST90240123__suggestive__003	suggestive_trans	2	25732044	25732044	GRCh38	""	""	rs13001419	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240123	GCST90240123__suggestive__004	suggestive_trans	2	152728111	152728111	GRCh38	""	""	rs71417238	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240123	GCST90240123__suggestive__005	suggestive_trans	2	239578555	239578555	GRCh38	""	""	rs59626274	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240123	GCST90240123__suggestive__006	suggestive_trans	3	97637556	97637556	GRCh38	""	""	rs16838846	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240123	GCST90240123__suggestive__007	suggestive_trans	4	12654489	12654489	GRCh38	""	""	rs77903926	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240123	GCST90240123__suggestive__008	suggestive_trans	5	13427461	13427461	GRCh38	""	""	rs556898616	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240123	GCST90240123__suggestive__009	suggestive_trans	5	104922529	104922529	GRCh38	""	""	rs78351425	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240123	GCST90240123__suggestive__010	suggestive_trans	6	31530426	31530426	GRCh38	""	""	rs10819	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240123	GCST90240123__suggestive__011	suggestive_trans	7	81584814	81584814	GRCh38	""	""	rs2367532	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240123	GCST90240123__suggestive__012	suggestive_trans	8	10641583	10641583	GRCh38	""	""	rs10090879	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240123	GCST90240123__suggestive__013	suggestive_trans	8	95193692	95193692	GRCh38	""	""	rs998980	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240123	GCST90240123__suggestive__014	suggestive_trans	8	120882278	120882278	GRCh38	""	""	rs28483602	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240123	GCST90240123__suggestive__015	suggestive_trans	8	139909468	139909468	GRCh38	""	""	rs149721368	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240123	GCST90240123__suggestive__016	suggestive_trans	9	131036211	131036211	GRCh38	""	""	rs2275132	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240123	GCST90240123__suggestive__017	suggestive_trans	9	133244309	133244309	GRCh38	""	""	rs117397870	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240123	GCST90240123__suggestive__018	suggestive_trans	11	73937073	73937073	GRCh38	""	""	rs191174908	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
GCST90240123	GCST90240123__suggestive__019	suggestive_trans	13	101354271	101354271	GRCh38	""	""	rs113507917	1e-05	1	cis-1mb_sig-trans-1mb_suggestive-leads
